PDB-ID,EMD-ID,resolution,contour
6RXT,10051,7,0.03
6RXU,10052,3.5,0.03
6RXZ,10056,4.4,0.03
6SGC,10181,2.8,0.05
6SXO,10344,3.3,0.01
6T34,10373,5.2,0.03
6T83,10398,4,0.02
6GZX,104,4.57,2.3
6TH6,10503,2.55,0.05
6GZZ,105,4.13,3.1
6XU6,10622,3.5,0.025
6XU8,10624,3,0.035
6XZ7,10655,2.1,0.09
6YYT,11007,2.9,3
6Z1P,11032,3.7,0.03
6ZJ3,11232,3.15,0.035
6ZMO,11299,3.1,0.05
6ZQF,11362,4.9,0.01
6ZS9,11390,4,0.02
6ZVK,11459,3.49,0.027
7AJT,11807,4.6,0.01
7ANE,11829,3.9,0.045
7ASA,11891,3.5,0.015
7ASE,11893,3.33,0.0193
7BG9,12174,3.8,0.014
7BGB,12177,3.4,0.022
7NSJ,12569,3.9,0.025
7O9M,12764,2.6,0.15
7OBQ,12799,3.9,0.01
7OF0,12865,2.2,0.004
7OI6,12919,5.7,0.02
7ONU,13002,3,5
7OQE,13033,5.9,0.0125
7PJX,13463,6.5,1.5
7PLA,13486,3.04,0.055
7PTK,13628,5.18,0.1
7PTL,13630,4.9,0.4
7PTQ,13633,4.08,0.15
7PTS,13636,5.71,0.366
7QDU,13926,5.14,0.138
7ZJ4,14740,4.43,0.14
7ZJ5,14741,4.55,0.105
8BTZ,16244,5.39,0.124
2WWB,1652,6.48,0.2
4V7E,1780,5.5,0.11
6HCM,195,6.8,0.07
6HCQ,197,6.5,0.07
4V6U,2009,6.6,0.13
6P7N,20267,4.9,0.08
6POM,20416,4.9,0.046
6UES,20755,3.7,9
6UET,20756,4.1,5
6V5B,21051,3.7,0.6
6W5C,21541,2.9,0.0428
6WB0,21583,4.2,0.02
6WDA,21629,3.8,1
6WLQ,21838,4.7,0.7
6WLR,21839,4.8,1.2
6WLT,21841,4.8,0.8
6WLU,21842,5.7,0.2
6XII,22192,7,0.00722
6XMF,22257,3.1,0.0254
6XMG,22258,4.8,0.0125
6XN7,22269,3.47,0.0185
7JL2,22370,4.3,0.02
4V8M,2239,5.57,108000
7JQQ,22441,4.1,0.0114
7KGB,22865,2.7,0.02
7KRO,23008,3.6,0.4
7L48,23157,3.9,0.0146
7LHD,23336,4.6,0.018
7LJY,23401,5.6,0.459
7MQA,23938,2.7,3.28
7N0D,24104,2.5,0.433
4V8Y,2421,4.3,0.25
4V8Z,2422,6.6,0.15
7R6L,24281,2.85,0.393
7R6M,24282,3.68,0.237
7R6N,24283,4.1,0.225
7R81,24307,2.7,0.5
7RE3,24432,3.33,0.4
7SAM,24952,4.3,0.0264
7SCQ,25041,6,0.0318
4UJE,2620,6.9,3.5
3J7R,2644,3.9,0.065
7UVT,26816,3.9,0.075
4UE4,2843,7,100
